gia_ban_trieu,dien_tich_m2,price_per_m2,width,n_bedroom,n_toilet,house_type,legal_status,quan,phuong,cluster_km,cluster_gmm,PCA1,PCA2,segment_name
7500.0,54.0,138.88888888888889,4.0,7,6,1,1,0,13,1,1,1.6918717214161754,-0.7520910527708724,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
4860.0,37.0,131.35135135135135,4.0,2,0,1,1,0,4,0,1,-1.8524323100797835,-0.8667745820968513,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
6350.0,72.0,88.19444444444444,4.0,5,0,1,1,0,22,0,1,-0.02369968856784349,-1.7306446604439156,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
4450.0,37.0,120.27027027027027,4.0,2,0,1,1,0,5,0,1,-1.9498348113069834,-0.9848109494910068,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5450.0,60.0,90.83333333333333,4.0,2,2,1,1,0,14,0,1,-0.9824229075261017,-1.4586036947962389,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
4700.0,52.6,89.35361216730038,4.0,2,2,1,1,0,22,0,1,-1.1974210586143466,-1.0787672661600372,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5200.0,43.0,120.93023255813954,3.5,2,2,1,1,0,13,0,1,-1.2616788875125389,-0.7411521545780638,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5450.0,34.5,157.97101449275362,3.0,2,2,1,1,0,15,0,1,-1.2493537228782665,-0.008465257481670012,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
8500.0,88.5,96.045197740113,6.0,4,3,1,1,0,13,1,1,0.8917011241385119,-2.0387739304762666,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
5680.0,30.0,189.33333333333334,4.0,3,0,1,1,0,5,0,1,-1.3501657580315847,0.03704739022540138,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7980.0,40.0,199.5,5.0,3,0,1,1,0,20,0,1,-0.6290032952569429,0.44607221668967334,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
9800.0,53.0,184.9056603773585,4.0,4,5,1,1,0,22,1,1,1.1655126796084863,0.2654907589974134,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
3890.0,15.0,259.3333333333333,5.0,2,3,1,1,0,24,0,1,-1.299479869824835,2.0691616023945705,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5750.0,60.0,95.83333333333333,3.5,2,2,1,1,0,20,0,1,-0.8726225707925991,-1.2016405862598534,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
9490.0,68.1,139.3538913362702,4.01,5,6,1,1,0,15,1,1,1.7040234594436041,-0.8684119821975976,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
7850.0,76.0,103.28947368421052,6.3,2,2,1,1,0,13,0,1,-0.2370892780149027,-1.6454045153038264,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
7190.0,56.0,128.39285714285714,7.0,2,2,1,1,0,5,0,1,-0.7090886980005817,-1.1564644896777054,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
5680.0,27.5,206.54545454545453,3.0,4,3,1,1,0,16,0,1,-0.3784769850301748,0.7712525981898561,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
3850.0,40.0,96.25,5.0,2,2,1,1,0,22,0,1,-1.5595978933967063,-0.7339791223109955,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
18000.0,90.0,200.0,4.5,7,5,1,1,0,16,1,1,4.1747001403003745,-0.5924665399562322,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
6400.0,38.1,167.97900262467192,7.2,2,2,1,1,0,22,0,1,-0.9347148122244431,0.2683577627910428,Phân khúc Phổ thông (Nhà hẻm/Giá rẻ)
10500.0,73.0,143.83561643835617,4.0,9,6,1,1,0,7,1,1,3.1431706427411603,-1.3474551328750457,Phân khúc Cao cấp (Diện tích lớn/Mặt tiền)
